COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,CANTIDAD
ELECTRICO,ACTIVO,01/27/2022 12:00:00 AM,2022,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/14/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,01/26/2021 12:00:00 AM,2021,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,05/14/2020 12:00:00 AM,2020,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,08/26/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,04/24/2017 12:00:00 AM,2017,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,10/26/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,06/16/2015 12:00:00 AM,2015,MOTOCICLETA,Santander,1
ELECTRICO,ACTIVO,12/22/2012 12:00:00 AM,2012,AUTOMOVIL,Valle del Cauca,1
ELECTRICO,ACTIVO,11/25/2021 12:00:00 AM,2021,CAMION,Antioquia,1
ELECTRICO,ACTIVO,12/09/2020 12:00:00 AM,2020,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,10/16/2019 12:00:00 AM,2019,TRICIMOTO,Valle del Cauca,1
ELECTRICO,ACTIVO,03/02/2021 12:00:00 AM,2021,AUTOMOVIL,Valle del Cauca,1
ELECTRICO,ACTIVO,05/24/2013 12:00:00 AM,2013,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,08/30/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/02/2017 12:00:00 AM,2017,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/25/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,02/01/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,12/28/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,12/02/2014 12:00:00 AM,2014,MOTOCICLETA,Meta,1
ELECTRICO,ACTIVO,08/13/2019 12:00:00 AM,2019,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,08/24/2015 12:00:00 AM,2015,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/15/2017 12:00:00 AM,2017,AUTOMOVIL,Bogota D.C.,1
